platform,channel_name,channel_display_name,channel_id,hours_watched,peak_viewers,average_viewers,airtime_in_m,followers_gain,live_views,last_streamed_game,avatar_url,channel_country,stream_language,partnership_status,channel_type
twitch,buster,buster,86277097,424531,36795,18130,1405,10666,2092600,Dota 2,https://static-cdn.jtvnw.net/jtv_user_pictures/96d66837-22f0-4393-89c5-2e5c2408485b-profile_image-300x300.png,RU,ru,partner,Male
twitch,grubby,Grubby,20992865,423359,11108,6539,3885,4922,889211,Dota 2,https://static-cdn.jtvnw.net/jtv_user_pictures/e5d06b76-4e12-44f9-82cf-1bcc03359667-profile_image-300x300.png,NL,en,partner,Male
twitch,rainbow6,Rainbow6,65171890,422310,29284,13587,1865,2403,759206,Tom Clancy's Rainbow Six Siege,https://static-cdn.jtvnw.net/jtv_user_pictures/f24eb74d-cd92-404b-949a-9ac2747df53f-profile_image-300x300.png,,en,partner,Organization
twitch,gabepeixe,gabepeixe,59799994,420424,13780,7497,3365,6761,4114270,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/5bb6bc7d-4371-4f10-8827-7dc925f83230-profile_image-300x300.png,BR,pt,partner,Male
twitch,emongg,Emongg,23220337,412029,17823,6267,3945,12664,737626,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/10c36ad0a4756df8-profile_image-300x300.png,US,en,partner,Male
twitch,rebirthztv,RebirthzTV,49839696,409455,20190,8951,2745,3380,1810601,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/fe4f106094bd5f06-profile_image-300x300.png,TH,th,partner,Male
twitch,kyedae,Kyedae,445529741,405050,26194,10476,2320,15775,1191533,VALORANT,https://static-cdn.jtvnw.net/jtv_user_pictures/d7bab577-5fec-4ce7-9410-6bd46e0bce87-profile_image-300x300.png,CA,en,partner,Female
twitch,meduska,meduska,652452451,400799,12537,6483,3710,16842,,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/eb3db010-50f2-40a5-90c3-c52731a341ec-profile_image-300x300.png,PL,pl,partner,
twitch,esl_sc2,ESL_SC2,30220059,400709,13298,2410,9980,1078,704917,StarCraft II,https://static-cdn.jtvnw.net/jtv_user_pictures/cac110f7-0711-421f-9341-c77b53ab63b5-profile_image-300x300.jpeg,,en,partner,Organization
twitch,woowakgood,우왁굳,49045679,400390,32570,16178,1485,1752,1310624,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/ebc60c08-721b-4572-8f51-8be7136a0c96-profile_image-300x300.png,KR,ko,partner,Male
twitch,riotgamesjp,RiotGamesJP,104833324,392318,20920,10949,2150,1188,623958,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/6d7af149-96b2-4e95-9ede-a1c818d15cb0-profile_image-300x300.png,JP,ja,partner,Organization
twitch,stray228,Stray228,40488774,391948,15107,9987,2355,5653,,Dota 2,https://static-cdn.jtvnw.net/jtv_user_pictures/stray228-profile_image-ceb0393a88eb8286-300x300.jpeg,RU,ru,partner,Male
twitch,esl_csgob,ESL_CSGOb,35936871,391938,56095,18160,1295,4059,1469738,Counter-Strike: Global Offensive,https://static-cdn.jtvnw.net/jtv_user_pictures/88ebc32c-7684-4cbd-a4fe-c26997ad8875-profile_image-300x300.jpeg,,en,partner,Organization
twitch,pgl_dota2en3,PGL_DOTA2EN3,194701994,385075,57689,19664,1175,23912,3457789,Dota 2,https://static-cdn.jtvnw.net/jtv_user_pictures/ca399b83-54bb-4e92-84f3-2f614fe56d52-profile_image-300x300.png,,en,partner,
twitch,juansguarnizo,juansguarnizo,121510236,382602,43140,27659,830,13025,1740764,Minecraft,https://static-cdn.jtvnw.net/jtv_user_pictures/74586414-e27b-4347-89c5-109e42ac3e1d-profile_image-300x300.png,CO,es,partner,Male
twitch,folagorlives,FolagorLives,30857876,375314,14609,7094,3175,8404,1569656,Pokémon Community Game,https://static-cdn.jtvnw.net/jtv_user_pictures/folagorlives-profile_image-2456af9afdbefda3-300x300.jpeg,ES,es,partner,Male
twitch,forsen,forsen,22484632,371915,19641,10284,2170,498,848414,Terraria,https://static-cdn.jtvnw.net/jtv_user_pictures/forsen-profile_image-48b43e1e4f54b5c8-300x300.png,SE,en,partner,Male
